Post_id,Labels,Dominant Topic,Topic 1,Topic 2,Topic C,,,,,
Cxdb_cYRYWU,"['purple', 'violet', 'sky', 'rectangle', 'font', 'magenta', 'electric', 'blue', 'pattern', 'graphic', 'brand']",Topic C,0.028155817,0.039389353,0.9324548,,Topic 1,Topic 2,Topic C,
CxbAJlUxJQ5,"['dog', 'dog', 'breed', 'carnivore', 'mammal', 'companion', 'dog', 'snout', 'working', 'animal', 'sporting', 'group', 'canidae', 'fur']",Topic A,0.9549781,0.022496298,0.022525614,,36%,29%,35%,
CxYwZnTRJ7P,"['hand', 'building', 'daytime', 'sky', 'window', 'gesture', 'tower', 'skyscraper', 'travel', 'tower', 'block']",Topic C,0.030027965,0.2483299,0.72164214,,,,,
CxV8SmHNHn0,"['smile', 'sleeve', 'tie', 'gesture', 'dress', 'shirt', 'happy', 'people', 'fun', 'event', 'thumb']",Topic B,0.031177232,0.9367486,0.03207413,,--> Faces of humans are part of almost all netflix posts,,,
CxVzwX1xeyq,"['glass', 'vision', 'care', 'sunglass', 'eyewear', 'sleeve', 'goggles', 'flash', 'photography', 'gesture', 'cool', 'fashion', 'design']",Topic A,0.9407147,0.029484794,0.029800441,,--> Topics differ based on the background or kind of photo,,,
CxS1YGTxXiF,"['nose', 'lip', 'smile', 'eyebrow', 'flash', 'photography', 'jaw', 'happy', 'gesture', 'eyelash', 'layered', 'hair']",Topic C,0.031263236,0.030851185,0.9378856,,--> Not so useful results from Topic Modeling,,,
CxRIbNKORrA,"['mouth', 'human', 'flash', 'photography', 'gesture', 'eyelash', 'snapshot', 'jewellery', 'event', 'thumb', 'electric', 'blue']",Topic B,0.03150514,0.5132717,0.4552232,,,,,
CxQ7Vh5R9JH,"['organ', 'glove', 'entertainment', 'headgear', 'smile', 'performing', 'art', 'art', 'event', 'comedy', 'scarf']",Topic B,0.031038947,0.94059217,0.028368931,,,,,
CxQsC3dNBGW,"['smile', 'photograph', 'water', 'hat', 'wood', 'sun', 'hat', 'flash', 'photography', 'travel', 'fedora', 'cool']",Topic A,0.9403942,0.032032177,0.027573615,,,,,
CxQccEovmOd,"['clothing', 'lip', 'outerwear', 'hairstyle', 'photograph', 'facial', 'expression', 'white', 'sun', 'hat', 'organ', 'human']",Topic A,0.9474012,0.026080849,0.026517928,,,,,
CxN6qnkNsjO,"['smile', 'photograph', 'human', 'fashion', 'gesture', 'yellow', 'happy', 'adaptation', 'event', 'tie']",Topic B,0.03785514,0.9303633,0.03178154,,,,,
CxLpjJBsbH3,"['water', 'temple', 'plant', 'headgear', 'umbrella', 'public', 'space', 'fun', 'tree', 'event', 'travel']",Topic B,0.385258,0.58071405,0.034027964,,,,,
CxLhwjMNhez,"['photograph', 'temple', 'sleeve', 'window', 'building', 'art', 'font', 'event', 'arch', 'holy', 'place']",Topic C,0.04142984,0.2062028,0.7523673,,,,,
CxI14HlN_k1,"['human', 'organism', 'font', 'happy', 'art', 'photo', 'caption', 'electric', 'blue', 'fictional', 'character', 'personal', 'protective', 'equipment', 'fur']",Topic A,0.89370495,0.024919491,0.081375554,,,,,
CxIuK2Qs9F_,"['motor', 'vehicle', 'car', 'human', 'vehicle', 'mode', 'transport', 'public', 'space', 'automotive', 'exterior', 'crowd', 'event', 'urban', 'area']",Topic A,0.95562726,0.023039171,0.02133359,,,,,
CxHai3bN0sK,"['outerwear', 'photograph', 'human', 'organ', 'fashion', 'hat', 'art', 'fun', 'cool', 'social', 'group']",Topic A,0.938981,0.032169577,0.028849464,,,,,
CxGXCpmrDjp,"['forehead', 'nose', 'cheek', 'lip', 'chin', 'hairstyle', 'eyebrow', 'eye', 'facial', 'expression', 'mouth']",Topic A,0.5277341,0.027817173,0.4444487,,,,,
CxGCYVKMMq8,"['lip', 'hand', 'muscle', 'eyelash', 'flash', 'photography', 'lipstick', 'happy', 'gesture', 'finger', 'font']",Topic B,0.0325491,0.52337515,0.44407576,,,,,
Cw-hvACuI8Z,"['hat', 'gesture', 'smile', 'happy', 'font', 'sun', 'hat', 'entertainment', 'performing', 'art', 'event', 'fan']",Topic A,0.49274206,0.47945836,0.027799536,,,,,
Cw-UAj7uvFY,"['lip', 'hat', 'flash', 'photography', 'cap', 'sleeve', 'headgear', 'sun', 'hat', 'tint', 'shade', 'costume', 'hat', 'fashion', 'design']",Topic A,0.5002864,0.47480342,0.02491017,,,,,
Cw8-0Y7rfD3,"['water', 'muscle', 'body', 'water', 'lake', 'leisure', 'chest', 'short', 'recreation', 'barechested', 'navel']",Topic B,0.028884172,0.9431689,0.027946925,,,,,
Cw8ENMuupfw,"['sky', 'sleeve', 'building', 'gas', 'signage', 'font', 'facade', 'billboard', 'advertising', 'event']",Topic C,0.031224158,0.032268703,0.9365071,,,,,
Cw5szBwBgcb,"['fashion', 'travel', 'eyewear', 'neighbourhood', 'public', 'space', 'leisure', 'fun', 'city', 'luggage', 'bag', 'thigh']",Topic B,0.47870776,0.4941306,0.027161626,,,,,
Cw3SSoGOcLt,"['jean', 'bird', 'hat', 'fun', 'travel', 'sky', 'happy', 'beak', 'art', 'sun', 'hat']",Topic A,0.9078604,0.059153333,0.032986242,,,,,
Cw0Oj5OODyD,"['nose', 'skin', 'lip', 'chin', 'eyebrow', 'vision', 'care', 'eyelash', 'jaw', 'lipstick', 'eyewear']",Topic A,0.53472507,0.028226173,0.4370488,,,,,
CwyFO6aN13x,"['smile', 'lip', 'chin', 'hat', 'human', 'fedora', 'sun', 'hat', 'happy', 'gesture', 'flash', 'photography']",Topic A,0.94248736,0.028948447,0.028564217,,,,,
CwtJX9TvFv5,"['font', 'event', 'brand', 'electric', 'blue', 'circle', 'graphic', 'logo', 'darkness', 'advertising']",Topic C,0.031073673,0.032230042,0.93669623,,,,,
Cws7oz1gR1V,"['photograph', 'human', 'fashion', 'flash', 'photography', 'font', 'audio', 'equipment', 'facial', 'hair', 'beard', 'eyewear', 'event']",Topic A,0.9425006,0.027916612,0.029582847,,,,,
Cws0xG6hrIH,"['face', 'smile', 'photograph', 'human', 'happy', 'eyewear', 'gesture', 'interaction', 'social', 'group', 'leisure']",Topic A,0.7303851,0.24105479,0.028560096,,,,,
CwsxVWNpNBd,"['smile', 'chin', 'hairstyle', 'facial', 'expression', 'hat', 'mouth', 'organ', 'product', 'jaw', 'fun']",Topic A,0.94087684,0.02883843,0.030284729,,,,,
CwsLmcpgb9a,"['smile', 'flash', 'photography', 'happy', 'event', 'grass', 'leisure', 'entertainment', 'recreation', 'darkness']",Topic B,0.033370674,0.80699813,0.15963121,,,,,
CwqP-B0ByZt,"['gesture', 'flash', 'photography', 'short', 'fashion', 'design', 'entertainment', 'thigh', 'fun', 'leisure', 'event', 'tie']",Topic B,0.027430445,0.94476974,0.027799832,,,,,
Cwn48ahulHD,"['hair', 'nose', 'head', 'chin', 'hairstyle', 'eyebrow', 'mouth', 'facial', 'expression', 'jaw', 'font']",Topic A,0.7549847,0.028277922,0.21673742,,,,,
CwnrMmpOlY1,"['poster', 'sunglass', 'goggles', 'movie', 'entertainment', 'action', 'film', 'fictional', 'character', 'publication', 'font', 'event']",Topic C,0.40699643,0.03435072,0.5586528,,,,,
CwlvlFehvIi,"['temple', 'leisure', 'musical', 'instrument', 'art', 'people', 'recreation', 'fun', 'facade', 'folk', 'instrument', 'bagpipe']",Topic A,0.58830386,0.38314047,0.028555634,,,,,
CwjJ_altmUW,"['eyelash', 'gesture', 'mobile', 'phone', 'font', 'happy', 'screenshot', 'communication', 'device', 'telephony', 'magenta', 'gadget']",Topic B,0.026418267,0.9435294,0.030052278,,,,,
Cwh_w7lOCRs,"['forehead', 'chin', 'publication', 'happy', 'font', 'movie', 'adaptation', 'poster', 'flash', 'photography', 'book', 'cover']",Topic C,0.028852804,0.033138268,0.9380089,,,,,
Cwf17mjPVjA,"['shoulder', 'facial', 'expression', 'picture', 'frame', 'fashion', 'happy', 'social', 'group', 'community', 'short', 'fun']",Topic A,0.76059705,0.03462004,0.20478293,,,,,
CwfaeIFPAl9,"['table', 'sharing', 'social', 'group', 'community', 'leisure', 'jacket', 'adaptation', 'eyewear', 'fashion', 'design']",Topic B,0.26774317,0.7032894,0.028967408,,,,,
CwdYAaBvRy5,"['lip', 'dress', 'shirt', 'neck', 'sleeve', 'flash', 'photography', 'waist', 'collar', 'wood', 'eyelash', 'fashion', 'design']",Topic C,0.026107067,0.02589408,0.9479988,,,,,
CwalethNSUb,"['world', 'product', 'nature', 'human', 'organism', 'yellow', 'gesture', 'happy', 'interaction', 'leisure']",Topic A,0.4927459,0.4754823,0.031771787,,,,,
CwWSzspBb8U,"['font', 'poster', 'publication']",Topic C,0.08524505,0.0887345,0.8260204,,,,,
CwVeIgsLjqe,"['sport', 'uniform', 'jersey', 'player', 'sportswear', 'competition', 'event', 'championship', 'event', 'fan', 'team']",Topic C,0.02904131,0.029522534,0.9414361,,,,,
CwSih99gn4T,"['font', 'sharing', 'event', 'advertising', 'team', 'photo', 'caption', 'job', 'brand', 'medium', 'formal', 'wear']",Topic C,0.28915203,0.17798209,0.5328659,,,,,
CwQhCmvBUv8,"['footwear', 'sneaker', 'leisure', 'boot', 'entertainment', 'event', 'performing', 'art', 'fashion', 'design', 'team', 'costume']",Topic B,0.02630626,0.94562846,0.028065301,,,,,
CwNY-ldNTsZ,"['car', 'vehicle', 'vehicle', 'registration', 'plate', 'automotive', 'design', 'motor', 'vehicle', 'luggage', 'bag', 'bag', 'automotive', 'exterior', 'waist', 'vehicle', 'door']",Topic B,0.024035847,0.9570763,0.018887874,,,,,
CwLkMg-ucMg,"['forehead', 'eyebrow', 'jaw', 'happy', 'font', 'flash', 'photography', 'photo', 'caption', 'internet', 'meme', 'sleeve', 'pleased']",Topic A,0.94203645,0.026253574,0.031709965,,,,,
CwHG8F_t75g,"['comfort', 'human', 'font', 'happy', 'photo', 'caption', 'room', 'linen', 'pillow', 'sitting']",Topic A,0.93216056,0.034925755,0.032913722,,,,,
CwF7LhjrQoW,"['nose', 'lip', 'hairstyle', 'eyelash', 'mouth', 'jaw', 'neck', 'ear', 'long', 'hair', 'blond']",Topic C,0.03200536,0.027914263,0.9400804,,,,,
CwDTc63N95C,"['sky', 'plant', 'billboard', 'rectangle', 'font', 'tree', 'signage', 'advertising', 'street', 'sign', 'sign']",Topic C,0.02810898,0.028999045,0.942892,,,,,
CwDQAq_O-Zh,"['font', 'dress', 'happy', 'poster', 'art', 'fashion', 'design', 'formal', 'wear', 'people', 'nature', 'flash', 'photography', 'event']",Topic B,0.023511415,0.9485665,0.027922101,,,,,
CwC-11NIugg,"['poster', 'publication', 'sky', 'font', 'book', 'cover', 'advertising', 'landscape', 'movie', 'action', 'film', 'hero']",Topic C,0.026137233,0.026391687,0.9474711,,,,,
Cv-XmVvPXOx,"['facial', 'expression', 'product', 'happy', 'gesture', 'sharing', 'smile', 'adaptation', 'leisure', 'travel', 'fun']",Topic A,0.49894452,0.47222507,0.02883039,,,,,
Cvx0OC8Bpua,"['smile', 'human', 'gesture', 'happy', 'poster', 'font', 'ball', 'event', 'sharing', 'advertising']",Topic B,0.038225558,0.5814497,0.38032478,,,,,
Cvxfoy6uezx,"['suit', 'trouser', 'trouser', 'shoe', 'leg', 'coat', 'style', 'fashion', 'design', 'flash', 'photography', 'pantsuit', 'blazer']",Topic C,0.025291573,0.02986971,0.9448387,,,,,
CvufaY8uBCG,"['hair', 'lip', 'outerwear', 'flash', 'photography', 'neck', 'sleeve', 'tartan', 'gesture', 'collar', 'dress', 'shirt']",Topic C,0.24563575,0.029989742,0.72437453,,,,,
Cvp-97xNOXp,"['purple', 'violet', 'sky', 'font', 'magenta', 'cloud', 'electric', 'blue', 'circle', 'pattern', 'symmetry']",Topic B,0.028340084,0.6173573,0.3543026,,,,,
Cvp4G1WNxWc,"['forehead', 'hairstyle', 'photograph', 'shirt', 'facial', 'expression', 'muscle', 'human', 'flash', 'photography', 'happy', 'gesture']",Topic A,0.9424355,0.02911359,0.02845094,,,,,
CvnaK5vOYCC,"['hair', 'photograph', 'eyebrow', 'smile', 'light', 'organ', 'human', 'black', 'flash', 'photography', 'fashion']",Topic A,0.9374777,0.030487904,0.032034393,,,,,
CvnTUO0O-j0,"['shoe', 'leg', 'people', 'nature', 'road', 'surface', 'happy', 'knee', 'thigh', 'asphalt', 'flooring', 'tint', 'shade']",Topic B,0.024121001,0.9511147,0.024764318,,,,,
CvkTDFONGTw,"['smile', 'product', 'eyelash', 'sleeve', 'communication', 'device', 'gadget', 'technology', 'layered', 'hair', 'electronic', 'device', 'electric', 'blue']",Topic B,0.1425106,0.60644597,0.25104347,,,,,
Cvh8D_mRG-V,"['hairstyle', 'photograph', 'facial', 'expression', 'muscle', 'human', 'fashion', 'gesture', 'fun', 'happy', 'social', 'group']",Topic A,0.943584,0.029602356,0.026813626,,,,,
CvhggC6RYet,"['hat', 'landscape', 'sky', 'event', 'wrinkle', 'wood', 'belt', 'history', 'sun', 'hat']",Topic A,0.8235719,0.036330663,0.14009744,,,,,
CvdG__PsJlN,"['font', 'hat', 'happy', 'wood', 'event', 'brand', 'poster', 'team', 'advertising']",Topic C,0.2042048,0.038379688,0.75741553,,,,,
Cvc5QZxOiLR,"['forehead', 'hair', 'head', 'photograph', 'coat', 'gesture', 'community', 'adaptation', 'tie', 'spokesperson']",Topic A,0.9218051,0.04625236,0.03194254,,,,,
CvcmgUNOBq3,"['smile', 'sky', 'cloud', 'temple', 'happy', 'tree', 'microphone', 'leisure', 'recreation']",Topic B,0.034525268,0.929934,0.035540715,,,,,
CvckqziIChx,"['forehead', 'hair', 'head', 'lip', 'chin', 'eyebrow', 'shoulder', 'vision', 'care', 'mouth', 'human', 'body']",Topic A,0.94313055,0.027456047,0.029413454,,,,,
Cva2yzjOiD-,"['hair', 'face', 'smile', 'head', 'hairstyle', 'photograph', 'facial', 'expression', 'muscle', 'organ', 'human']",Topic A,0.9427226,0.028779553,0.028497811,,,,,
CvZ_4HPseQE,"['lamp', 'font', 'adaptation', 'sleeve', 'military', 'person', 'officer', 'suit', 'room', 'lampshade', 'pattern']",Topic B,0.028567452,0.94081444,0.0306181,,,,,
CvSs_4vOdLp,"['hair', 'head', 'lip', 'outerwear', 'photograph', 'mouth', 'light', 'organ', 'black', 'human']",Topic A,0.9365325,0.031012975,0.032454506,,,,,
CvSRfbIIP41,"['forehead', 'chin', 'eyebrow', 'mouth', 'jaw', 'neck', 'mammal', 'happy', 'gesture', 'smile']",Topic A,0.5616424,0.03393356,0.404424,,,,,
CvKqBi_uZ7y,"['hat', 'eyewear', 'font', 'technology', 'snapshot', 'movie', 'goggles', 'glass', 'fictional', 'character', 'gadget']",Topic A,0.7340411,0.235555,0.030403955,,,,,
CvKlHi4uIlf,"['smile', 'font', 'hat', 'sun', 'hat', 'advertising', 'poster', 'event', 'movie', 'photo', 'caption', 'sharing']",Topic A,0.7473423,0.031164065,0.22149369,,,,,
CvIMDuxgEYR,"['smile', 'sport', 'jersey', 'sleeve', 'jersey', 'sport', 'uniform', 'electric', 'blue', 'sportswear', 'font', 'event']",Topic C,0.027057374,0.028153626,0.944789,,,,,
CvGQcWvucAp,"['forehead', 'face', 'hair', 'head', 'hairstyle', 'photograph', 'eyebrow', 'facial', 'expression', 'light', 'human']",Topic A,0.9426686,0.028114581,0.029216845,,,,,
CvA__EJtMKL,"['smile', 'human', 'flash', 'photography', 'fashion', 'happy', 'fun', 'people', 'leisure', 'beauty', 'entertainment']",Topic B,0.23896918,0.730881,0.030149844,,,,,
CvAP6vHvPGF,"['forehead', 'head', 'photograph', 'facial', 'expression', 'product', 'organ', 'human', 'happy', 'crowd', 'community']",Topic A,0.9422746,0.029139386,0.02858603,,,,,
Cu9rH6strnN,"['skin', 'eyebrow', 'smile', 'eyelash', 'gesture', 'pink', 'barbie', 'mobile', 'phone', 'material', 'property', 'magenta']",Topic B,0.05948742,0.8123791,0.12813346,,,,,
Cu7UD3qvTx2,"['forehead', 'hair', 'face', 'head', 'chin', 'outerwear', 'hairstyle', 'eyebrow', 'facial', 'expression', 'human']",Topic A,0.942373,0.02792016,0.029706867,,,,,
Cu4hkIWuzQA,"['smile', 'vision', 'care', 'eyewear', 'happy', 'interaction', 'font', 'cool', 'community', 'hat', 'fashion', 'design']",Topic A,0.9385683,0.031226328,0.030205427,,,,,
Cu2KeLkMlmA,"['photograph', 'fashion', 'picture', 'frame', 'chair', 'adaptation', 'outdoor', 'furniture', 'eyewear', 'event', 'snapshot', 'room']",Topic B,0.02886828,0.9422004,0.028931247,,,,,
Cu15UaOOVly,"['watch', 'sky', 'human', 'cloud', 'flash', 'photography', 'happy', 'font', 'people', 'nature', 'cool', 'travel']",Topic B,0.029633151,0.94147575,0.02889113,,,,,
CuzKQXrAR5Q,"['forehead', 'chin', 'eyebrow', 'dress', 'shirt', 'jaw', 'neck', 'sleeve', 'gesture', 'ear', 'collar']",Topic C,0.03109194,0.029752385,0.9391557,,,,,
Cuup62OOmPh,"['photograph', 'cartoon', 'textile', 'happy', 'gesture', 'fun', 'art', 'snapshot', 'formal', 'wear', 'collage']",Topic B,0.031090328,0.9398682,0.029041471,,,,,
CusFBRHOgc7,"['joint', 'hairstyle', 'shoulder', 'facial', 'expression', 'flash', 'photography', 'interaction', 'happy', 'fashion', 'design', 'curtain', 'black', 'hair']",Topic A,0.51434255,0.02572348,0.45993397,,,,,
Cupcy5vvuo5,"['forehead', 'facial', 'expression', 'gesture', 'happy', 'font', 'event', 'fun', 'photo', 'caption', 'news', 'job']",Topic A,0.93880075,0.032387156,0.028812043,,,,,
Cum7bVaOn7b,"['clothing', 'head', 'outerwear', 'hairstyle', 'photograph', 'facial', 'expression', 'product', 'human', 'fashion', 'sleeve']",Topic A,0.9408912,0.029062044,0.030046767,,,,,
Cum0l5LuPrV,"['nose', 'hair', 'head', 'eyebrow', 'eye', 'jaw', 'art', 'rectangle', 'font', 'snout']",Topic C,0.40591556,0.033461355,0.5606231,,,,,
CumnUbUtp7T,"['dress', 'flash', 'photography', 'sleeve', 'umbrella', 'gown', 'sky', 'fashion', 'design', 'formal', 'wear', 'happy', 'event']",Topic C,0.02555991,0.030059563,0.9443805,,,,,
CukrO3HO-_4,"['hair', 'skin', 'lip', 'smile', 'hairstyle', 'eyebrow', 'neck', 'eyelash', 'happy', 'stole']",Topic A,0.6384167,0.032343104,0.3292402,,,,,
Cukkc33uc2u,"['colorfulness', 'rectangle', 'font', 'parallel', 'magenta', 'electric', 'blue', 'pattern', 'graphic', 'brand', 'graphic', 'design']",Topic C,0.026007855,0.02734306,0.9466491,,,,,
CuddHs3t5UY,"['forehead', 'nose', 'cheek', 'facial', 'expression', 'mouth', 'eyelash', 'jaw', 'mammal', 'gesture', 'cartoon']",Topic A,0.53519696,0.029659117,0.4351439,,,,,
CuaDc-7Okju,"['flash', 'photography', 'gesture', 'entertainment', 'performing', 'art', 'event', 'music', 'performance', 'art', 'fun', 'elbow', 'audio', 'equipment']",Topic B,0.025669154,0.9505832,0.023747632,,,,,
CuZ1wm3O4Bb,"['sky', 'billboard', 'plant', 'rectangle', 'font', 'signage', 'sign', 'advertising', 'banner', 'street', 'sign']",Topic C,0.028106915,0.028415868,0.9434772,,,,,
CuXsZOfLBTj,"['lip', 'chin', 'eyebrow', 'lipstick', 'mouth', 'facial', 'expression', 'eyelash', 'organ', 'smile', 'black']",Topic A,0.55881983,0.028770663,0.41240957,,,,,
CuXM4XDpt43,"['forehead', 'nose', 'cheek', 'eyebrow', 'mouth', 'eyelash', 'flash', 'photography', 'jaw', 'ear', 'gesture']",Topic C,0.030846175,0.029854542,0.9392993,,,,,
CuSONVit1MD,"['water', 'muscle', 'body', 'water', 'outdoor', 'recreation', 'lake', 'boat', 'boating', 'equipment', 'supply', 'leisure', 'paddle', 'people', 'sport']",Topic B,0.021840459,0.95463216,0.023527361,,,,,
CuSAep2OLvP,"['eyelash', 'entertainment', 'cool', 'music', 'black', 'hair', 'magenta', 'font', 'step', 'cutting', 'artificial', 'hair', 'integration']",Topic B,0.03030517,0.65802145,0.31167337,,,,,
CuPN8bPOP_V,"['lip', 'smile', 'eye', 'flash', 'photography', 'neck', 'eyewear', 'sleeve', 'happy', 'black', 'hair', 'electric', 'blue']",Topic C,0.032952633,0.02729976,0.9397476,,,,,
CuHtTAQN-Yr,"['joint', 'shoulder', 'sleeve', 'flash', 'photography', 'font', 'waist', 'cool', 'sportswear', 'fashion', 'design']",Topic C,0.02997363,0.03073435,0.939292,,,,,
Ct4eQj-JjmU,"['forehead', 'head', 'hairstyle', 'photograph', 'mouth', 'facial', 'expression', 'muscle', 'light', 'organ', 'fashion']",Topic A,0.9419355,0.02869609,0.029368423,,,,,
CtwpBLMIVTh,"['forehead', 'eyebrow', 'beard', 'flash', 'photography', 'jaw', 'sleeve', 'facial', 'hair', 'font', 'poster', 'moustache']",Topic C,0.030583026,0.02672942,0.9426876,,,,,
CtwUddvgQMA,"['musical', 'instrument', 'font', 'technology', 'music', 'event', 'advertising', 'photo', 'caption', 'entertainment', 'news', 'publication']",Topic A,0.66807103,0.12975791,0.20217106,,,,,
CttvoMzA3om,"['photograph', 'analog', 'television', 'light', 'black', 'flash', 'photography', 'sleeve', 'font', 'television', 'set', 'snapshot']",Topic B,0.036996674,0.93223596,0.030767402,,,,,
CtrtJYaO35j,"['photograph', 'muscle', 'computer', 'human', 'output', 'device', 'flat', 'panel', 'display', 'personal', 'computer', 'display', 'device', 'technology', 'electronic', 'device']",Topic B,0.02185614,0.95847046,0.019673442,,,,,
CtrfbK5MBA1,"['water', 'vertebrate', 'cap', 'goggles', 'liquid', 'eyewear', 'headgear', 'medley', 'swimming', 'lake', 'sport', 'gear']",Topic C,0.03508814,0.3544748,0.61043704,,,,,
CtpiXSrLSTa,"['arm', 'muscle', 'fashion', 'musician', 'purple', 'music', 'artist', 'gesture', 'music', 'performing', 'art', 'entertainment']",Topic B,0.027624262,0.9461136,0.026262172,,,,,
Cto6gAGpY5e,"['smile', 'tire', 'wheel', 'car', 'vehicle', 'motor', 'vehicle', 'sky', 'tree', 'gesture', 'automotive', 'design']",Topic B,0.032406516,0.94071484,0.026878627,,,,,
Cto06mBODjL,"['cloud', 'people', 'nature', 'flash', 'photography', 'happy', 'plant', 'sky', 'poster', 'grass', 'grassland', 'landscape']",Topic B,0.0270245,0.93892634,0.03404916,,,,,
CtnKUQ7J_Xe,"['smile', 'world', 'light', 'product', 'blue', 'lighting', 'fan', 'crowd', 'entertainment', 'music', 'artist']",Topic A,0.887072,0.08223993,0.030688064,,,,,
CtnJJDPrej-,"['hand', 'arm', 'shirt', 'smile', 'microphone', 'fashion', 'flash', 'photography', 'entertainment', 'purple', 'crowd']",Topic B,0.03237156,0.9367163,0.030912109,,,,,
Ctm42XqIrmB,"['sky', 'cloud', 'people', 'nature', 'sleeve', 'snow', 'happy', 'gesture', 'travel', 'fun', 'tire']",Topic B,0.02970653,0.9409882,0.029305303,,,,,
CtmwukAhtxH,"['hairstyle', 'wedding', 'dress', 'picture', 'frame', 'human', 'fashion', 'window', 'textile', 'dress', 'flash', 'photography', 'eyelash']",Topic C,0.11357171,0.026769567,0.8596587,,,,,
CtmLIVcOj3G,"['smile', 'dress', 'garment', 'flash', 'photography', 'fashion', 'design', 'fun', 'leisure', 'formal', 'wear', 'happy', 'event']",Topic B,0.025514133,0.94665,0.027835852,,,,,
Ctkn-QINB_6,"['sky', 'billboard', 'plant', 'rectangle', 'font', 'advertising', 'signage', 'tree', 'sign', 'banner']",Topic C,0.030702384,0.031778775,0.93751884,,,,,
